"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_16S","52345-513",3,"dPB133","G11","detected",478.863767250014,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",47,22705,0.00085,2.437851906,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-514",1,"dPB134","D01","detected",97.2867209285743,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",8,19007,0.00085,0.495277852,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-514",2,"dPB134","D05","detected",209.008993875006,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",19,21017,0.00085,1.064045787,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-514",3,"dPB134","D09","detected",103.461356035717,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",9,20107,0.00085,0.526712358,"copies/uL",2.8,1,"field survey"
"Tt_16S","52345-531",1,"dPB133","G04","detected",1593.66048239415,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",136,18458,0.00085,8.70042038,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-531",2,"dPB133","G08","detected",1584.88378308895,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",147,20061,0.00085,8.652504921,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-531",3,"dPB133","G12","detected",1440.41490784966,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",122,18313,0.00085,7.863792419,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-532",1,"dPB133","D04","detected",1253.38228184355,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",116,20002,0.00085,6.842707634,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-532",2,"dPB133","D08","detected",1354.43712677017,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",121,19312,0.00085,7.394405842,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-532",3,"dPB133","D12","detected",1249.90701074047,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",99,17118,0.00085,6.82373476,"copies/uL",3.002666667,1,"field survey"
