"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_DLL1","52345-534",1,"dPB133","A04","detected",856.495090513089,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",75,18820,0.00085,4.6977458,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-534",2,"dPB133","A08","detected",809.89355526962,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",67,17778,0.00085,4.44214344,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-534",3,"dPB133","A12","detected",598.005393530603,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",49,17600,0.00085,3.279968977,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-535",1,"dPB133","B04","detected",170.085351395569,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",15,18924,0.00085,0.932892382,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-535",2,"dPB133","B08","detected",173.337235936647,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",17,21045,0.00085,0.950728476,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-535",3,"dPB133","B12","detected",159.408403043158,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",15,20191,0.00085,0.874330938,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-536",1,"dPB134","A03","detected",180.731209007653,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",19,22559,0.00085,0.991283298,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-536",2,"dPB134","A07","detected",248.712504751522,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",25,21573,0.00085,1.364150405,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-536",3,"dPB134","A11","detected",172.656018030645,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",17,21128,0.00085,0.946992099,"copies/uL",3.016666667,1,"field survey"
"Tt_DLL1","52345-537",1,"dPB133","A02","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,19342,0.00085,0,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-537",2,"dPB133","A06","detected",29.0019051572832,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",3,22258,0.00085,0.158578902,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-537",3,"dPB133","A10","detected",9.4341668875456,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",1,22807,0.00085,0.051584881,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-538",1,"dPB134","A01","detected",34.585206321724,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",3,18665,0.00085,0.189107716,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-538",2,"dPB134","A05","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,19782,0.00085,0,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-538",3,"dPB134","A09","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,21547,0.00085,0,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-539",1,"dPB134","E02","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,20320,0.00085,0,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-539",2,"dPB134","E06","detected",10.6633784815635,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",1,20178,0.00085,0.058306061,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-539",3,"dPB134","E10","detected",29.1117806727022,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",3,22174,0.00085,0.159179688,"copies/uL",3.007333333,1,"field survey"
"Tt_DLL1","52345-540",1,"dPB134","F03","detected",203.097372327322,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",20,21212,0.00085,1.109773278,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-540",2,"dPB134","F07","detected",177.139741240814,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",18,21887,0.00085,0.967934489,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-540",3,"dPB134","F11","detected",193.947723551906,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",18,19991,0.00085,1.059777379,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-541",1,"dPB133","C04","detected",303.505668567388,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",27,19167,0.00085,1.65842855,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-541",2,"dPB133","C08","detected",425.059563234821,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",39,19774,0.00085,2.322628498,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-541",3,"dPB133","C12","detected",367.929257000666,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",34,19913,0.00085,2.010454655,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-542",1,"dPB134","H01","detected",150.946429176018,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",14,19976,0.00085,0.824807882,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-542",2,"dPB134","H05","detected",188.092765166163,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",18,20613,0.00085,1.027784467,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-542",3,"dPB134","H09","detected",72.8977569291162,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",7,20678,0.00085,0.398331016,"copies/uL",3.005333333,1,"field survey"
"Tt_DLL1","52345-543",1,"dPB134","D04","detected",252.990727498345,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",23,19607,0.00085,1.380869389,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-543",2,"dPB134","D08","detected",217.171385726192,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",21,20853,0.00085,1.185360909,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-543",3,"dPB134","D12","detected",172.70579240507,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",15,18728,0.00085,0.942659616,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-544",1,"dPB134","F02","detected",98.6138882744877,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",9,19676,0.00085,0.538252532,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-544",2,"dPB134","F06","detected",149.734340156569,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",14,20160,0.00085,0.817277253,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-544",3,"dPB134","F10","detected",111.098690772823,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",10,19406,0.00085,0.606396854,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-545",1,"dPB133","B02","detected",487.512536708881,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",51,22574,0.00085,2.660932064,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-545",2,"dPB133","B06","detected",475.537753131265,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",46,20873,0.00085,2.595571518,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-545",3,"dPB133","B10","detected",595.92634495339,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",62,22456,0.00085,3.252674341,"copies/uL",3.002,1,"field survey"
"Tt_DLL1","52345-546",1,"dPB134","E03","detected",445.977710758214,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",42,20286,0.00085,2.438281775,"copies/uL",3.007,1,"field survey"
"Tt_DLL1","52345-546",2,"dPB134","E07","detected",449.175247056851,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",46,22060,0.00085,2.455763578,"copies/uL",3.007,1,"field survey"
"Tt_DLL1","52345-546",3,"dPB134","E11","detected",456.607500399052,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",43,20286,0.00085,2.496397734,"copies/uL",3.007,1,"field survey"
