"scenario","true","med","mean","sd","lo95","hi95","lo50","hi50"
"distinct rates",29.5172413793103,32.7229857123105,32.7455076100132,2.91690223829806,27.004605896319,38.4701038557093,30.7776323910083,34.7385897686683
"distinct rates",31.2241379310345,29.5706456325819,29.5394724262915,3.05112812339241,23.6355397155083,35.621406892162,27.4234672002818,31.5418004287979
"distinct rates",32.9310344827586,30.8851473826753,30.9680299957726,3.20352668988491,24.6925383276463,37.4156007871277,28.8226472394274,33.053378924902
"distinct rates",34.6379310344828,40.6447829466082,40.9075238921105,5.67744506883296,30.4859040360533,52.6915797232136,36.9674751520917,44.6034547432822
"distinct rates",36.3448275862069,41.2972545778889,41.6910099989244,6.32114995473292,30.6128346211607,54.9703770547383,37.1958659539242,45.7336329858928
"distinct rates",38.051724137931,32.1366462213506,32.1979988932088,3.62782405461627,25.0558976576164,39.4065732630961,29.7685840002406,34.6727200999356
"distinct rates",39.7586206896552,37.3203717168871,37.5686340108888,5.44468752610965,27.6536962542589,48.8332081674268,33.7134097778293,41.0757393428637
"distinct rates",41.4655172413793,46.2679959775135,46.4356979394625,7.42069561558623,32.7241231214869,61.5572728415589,41.2251126181178,51.3266542823154
"distinct rates",43.1724137931034,44.1278681232417,44.5226578762884,7.18493854540031,31.5191796801302,59.5450176808607,39.4545997466166,49.3620201435641
"distinct rates",44.8793103448276,46.8033615998942,46.9452237933619,7.34575492896865,33.3045486965502,62.04682717593,41.7284618105288,51.8389161933628
"distinct rates",46.5862068965517,48.6394307389901,48.8784223825418,7.6014091582624,34.1878035646173,64.3475646363595,43.7746458186615,54.0968111570167
"distinct rates",48.2931034482759,47.8283201895376,47.9585470912919,8.10318529992725,32.6391870152209,63.8757233819288,42.3446552034738,53.3401340022746
"distinct rates",50,45.0724362719883,45.3336561460099,7.62184611776626,31.5721930114298,60.6069772564238,39.9143298864808,50.4130335563949
"actual rates",0.5,8.57613166690482,8.90346348741763,4.90932457687695,0.755427950965217,19.3976575996629,5.25319959015049,12.1270879196776
