"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C[19]",6.80225356472367,0.00700298023528947,0.69803364689595,5.45500928668533,6.32819300306559,6.79741375129546,7.26794160993723,8.18489667359342,9935.4356092412,1.00000990914947
"C[20]",7.24744116641307,0.00661726784256459,0.673323479793751,5.98584307058538,6.77892344478997,7.23336850721646,7.69696723638896,8.61467993723599,10353.5692155376,1.00019971729836
"C[21]",6.93236576841317,0.00621111895590063,0.695873828226819,5.59048516470892,6.45821171789096,6.92154453193483,7.41032276617618,8.32411853566907,12552.2422449435,0.99982680191714
"C[22]",7.92468416784048,0.00643550104553584,0.682353353944793,6.65772185959895,7.43742078527865,7.9081353397468,8.3805157328614,9.31380614622769,11242.2679136563,0.999849185895297
"C[23]",7.11440701874282,0.00987492598340496,0.965328838679876,5.39037791337577,6.41298550258109,7.07521022227758,7.76059590327722,9.11044771236082,9556.14791144397,0.999986217551096
"C[24]",6.9895256666802,0.00952959073415519,0.907911829762453,5.46382415355129,6.299895793532,6.9283179149573,7.59917158438865,8.87423821936674,9076.92716812824,1.00027036262386
"C[25]",5.92813403558105,0.00991668554040485,0.942835433019626,4.30514391343495,5.22259092041612,5.89207360660144,6.55431897409979,7.86922964011446,9039.38132103914,1.00012673638449
"C[26]",6.70267126569669,0.00680305822505913,0.678526309395185,5.59445890114173,6.18497495955216,6.64882043337725,7.15402287683523,8.16060977667439,9947.75332895593,0.999838209390517
"C[27]",6.86525421313755,0.00693764574726572,0.705528767616686,5.48065458449731,6.39228931684072,6.86280543841794,7.34020874177238,8.23068827746512,10342.0161899474,1.00001560490198
"C[28]",7.36519734725846,0.00998861723651635,0.983640899307765,5.54177119716179,6.66404345629164,7.35495593222202,8.0188428011914,9.36879196234475,9697.55862628693,0.999970909464815
"alpha",-2.54823734881723,0.00275202811547491,0.312190337603599,-3.18512678242639,-2.75398062723913,-2.54141257561202,-2.32987183405052,-1.96556552840454,12868.6557093818,0.999695131069076
"beta",0.797222181196731,0.000619358678839702,0.0701155419076022,0.665717961185619,0.748285167612726,0.795567319463137,0.843692822139215,0.93980777220595,12815.7531814721,0.999705830512879
"sigma",0.824206624439669,0.0001730235726404,0.0252044602953456,0.776936504821071,0.806968266516298,0.8234921100735,0.841140012955819,0.875140575778502,21219.9450126076,0.999814857643682
"mu[1,1]",2.36101495752782,0.00377437910103931,0.414990738829521,1.54703650443343,2.08111699714878,2.36261239273551,2.64269738910788,3.16623161842626,12088.8718011842,0.999983714930273
"mu[1,2]",-0.554338405600645,0.00741696910179984,0.811223532522336,-2.17114887796261,-1.10163385075955,-0.545269408834046,0.0036155234396662,0.973055396120486,11962.6705187977,1.00002870459814
"mu[1,3]",-1.0363409106369,0.00760140346354705,0.83077243206744,-2.69085871385731,-1.59662737702835,-1.02733271876398,-0.462693707882596,0.531133230703928,11944.7367990806,1.00003706404717
"mu[1,4]",-2.66049435125074,0.0102442860026493,1.11116214795553,-4.88631109372923,-3.41266151892025,-2.64187471958631,-1.88812364604217,-0.5601832264038,11764.9879803273,1.00012842726462
"mu[2,1]",3.98167762915839,0.00229556731955408,0.247885754710995,3.50000409907742,3.8120062270622,3.98104534601653,4.14833336060216,4.4686191458165,11660.6584018531,0.999810753509718
