"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[11,2]",1.67647852652486,0.00642647041050422,0.463344647449837,0.755802247444978,1.36828834516196,1.67815635500939,1.9875565956719,2.56342129537993,5198.32318271044,1.00058394179491
"mu[11,3]",1.23921266126589,0.00659837389340291,0.473096794016484,0.294263665914944,0.925535909148111,1.24328751889239,1.55727335769657,2.13829940722073,5140.7462583549,1.0005512638001
"mu[11,4]",0.229990910561744,0.0094468193240078,0.636142719945837,-1.04742833254374,-0.202975158764427,0.234046466885883,0.668932237453655,1.45311232570261,4534.58872990017,1.00019849827404
"mu[12,1]",3.22740215185714,0.00606033246789194,0.439654318261969,2.34133675307238,2.94111085450716,3.23193725291281,3.51597392731216,4.07233747168507,5262.95656863864,0.999721702077121
"mu[12,2]",1.36479668427053,0.00664558720144794,0.480494068604602,0.415390120796266,1.04277009475378,1.36356644732964,1.67836636416276,2.30336257965052,5227.6841450177,0.999843570988266
"mu[12,3]",0.920013624527213,0.00684486036994126,0.49075155494865,-0.0444687862537432,0.591215647342366,0.919965928860427,1.24258313694044,1.87509415283612,5140.36765421059,0.999855024928542
"mu[12,4]",-0.192536430015715,0.00989914925362325,0.661464733212335,-1.50249564370284,-0.633543406430108,-0.201750129466658,0.242824544247279,1.11047155556656,4464.96073181848,0.999967013561256
"mu[13,1]",2.18288989928782,0.00723257592013418,0.544935371055703,1.09731440678773,1.82320999941108,2.18686029251978,2.54700983381141,3.24604484069987,5676.80523607246,1.00151994359376
"mu[13,2]",-1.23724939778153,0.0125713062644714,0.98348365423361,-3.26695309548788,-1.87920810957975,-1.19453698632082,-0.563774702386486,0.598668223512054,6120.31082468075,1.00042006292507
"mu[13,3]",-1.73709839059754,0.0128402093990231,1.00478866408155,-3.81077060181546,-2.39713972531598,-1.69377471009194,-1.04981856661102,0.134142508020496,6123.57781413194,1.00039691346983
"mu[13,4]",-3.60656240759796,0.0167307860889429,1.31188148125862,-6.32183029166869,-4.4781961897444,-3.55110693133539,-2.70054724126552,-1.16899494355584,6148.32066352619,1.00017226907744
"mu[14,1]",3.95575707478467,0.00413810071386159,0.290828265365445,3.39807028321792,3.75540558486869,3.95448257444679,4.15218370769281,4.52368352877654,4939.36492165747,0.999784251010617
"mu[14,2]",2.71462308396836,0.00336924132152708,0.246956007534711,2.21493008554,2.55100332664799,2.71240817534869,2.88170659015535,3.21380178206253,5372.48181394326,1.00037083252152
"mu[14,3]",2.29181187876755,0.00347791809833574,0.253793962264499,1.77638573128788,2.12231764392142,2.28856231249712,2.46452862619458,2.80148411033268,5325.05221938204,1.00037825311654
"mu[14,4]",1.48127801747337,0.00537118499023725,0.375433119075442,0.728203859393928,1.23256016958554,1.47866083454885,1.73645265249726,2.21266018165506,4885.67914722351,1.00035811472562
"mu[15,1]",4.17741146791009,0.00837829638347742,0.640736174167354,2.92801285738578,3.74504758795942,4.15913935851506,4.61002885541462,5.46995109989779,5848.53439618019,0.999804906524786
"mu[15,2]",2.08009129799098,0.0065576688470996,0.521151486141596,1.05214240535067,1.72718537691911,2.07733719382184,2.43510066176652,3.12615431311828,6315.80914630201,1.00091745122042
"mu[15,3]",1.62701000173738,0.00667144501623319,0.526551169389115,0.589573989400228,1.27073149539266,1.6225932995114,1.98614708273729,2.68842481553826,6229.33003949634,1.0009741625241
"mu[15,4]",0.400395756724501,0.00897561771542545,0.654349130924424,-0.867165681140546,-0.0349468314246659,0.391766939277812,0.856209809824993,1.67158627175249,5314.84209076676,1.00145202454005
"mu[16,1]",2.76786848981097,0.00549175588433058,0.406525611625354,1.95655693014028,2.49358026786909,2.77047194404471,3.03841392508355,3.57450772454136,5479.65701384497,0.999966845223842
"mu[16,2]",-0.513075211093433,0.0110298260043836,0.837917746922178,-2.20095566146758,-1.07417989167536,-0.488076039387734,0.0572746917460654,1.06829618661661,5771.19109134539,1.00006487294339
"mu[16,3]",-1.00800300397315,0.0113132345496252,0.859147847660793,-2.7342312852896,-1.58499284737798,-0.980846920978955,-0.426315326428652,0.614713086212665,5767.16305735889,1.0000591934542
"mu[16,4]",-2.80982220436959,0.0153774774535441,1.16248577798475,-5.10722473455278,-3.59241727618694,-2.78324829974305,-2.02424058636271,-0.577884281793458,5714.85346218126,0.999994729696496
"mu[17,1]",3.62097328088129,0.00406881021093553,0.297113861371381,3.02887429553295,3.42347629380771,3.62131867327729,3.82866369264236,4.19051643677294,5332.25563345005,0.999785212702031
"mu[17,2]",2.20608805884392,0.00497341709354087,0.365435620958582,1.49663754988803,1.95920109907424,2.21139191865568,2.45855018607148,2.91027911157074,5398.98338284958,1.00050254753792
"mu[17,3]",1.77713395421543,0.00514145013553425,0.375593181611279,1.05086538414794,1.52228607174964,1.78171659110243,2.03715261274465,2.49940050625186,5336.59374664172,1.0005389598856
"mu[17,4]",0.882162291047585,0.00781605472986483,0.53437220987273,-0.175289879985316,0.517984776682502,0.889012311223919,1.24933375296774,1.8990565376744,4674.25655201547,1.00083810798139
"mu[18,1]",4.36042430373514,0.00891306783040578,0.640008791688913,3.12403812462329,3.93019570023313,4.35330694916651,4.78313719344891,5.64196283850865,5156.05399233035,1.00084062990745
"mu[18,2]",2.36498241808975,0.00647717206068292,0.515956772075956,1.33328895241522,2.02496177402677,2.37343957011258,2.71217587461852,3.36046668269865,6345.35269193647,1.00030830064433
"mu[18,3]",1.91550298439424,0.00655211776596131,0.521255522935347,0.873891563431498,1.57401826080086,1.92458799106739,2.26581832149545,2.91610562858878,6329.04159168658,1.00027004164739
"mu[18,4]",0.738398479958612,0.00868571234839343,0.648367237852324,-0.548950063719457,0.295702048268092,0.757220833502228,1.17430087565107,1.99026565559418,5572.25828585147,0.999899533738541
"mu[19,1]",3.48474929246674,0.00413945785377232,0.268612206183761,2.98751363972884,3.29833826976747,3.47572776419388,3.66290452238957,4.02257055292476,4210.79944857997,1.00042098180343
"mu[19,2]",2.89871183666776,0.00305645832356913,0.22333777464941,2.4539369484,2.74966573854055,2.89908202318652,3.04971988077699,3.32912781890086,5339.33797697767,0.999849960281574
