"scenario","true","med","mean","sd","lo95","hi95","lo50","hi50"
"distinct rates",48.2931034482759,47.4401957076297,47.7333432312095,7.70822400354498,33.2172067794593,63.4603235000967,42.2950567152304,52.9054867343823
"distinct rates",50,49.6233477028109,49.8859336855481,7.37091475375048,36.1149055262464,64.9524469576408,44.7561990696265,54.8497926416431
"actual rates",0.5,4.72849464731233,5.21800871046964,3.57418637907174,0.173171589635725,13.4851936820393,2.41774629975945,7.4920009200712
"actual rates",2.20689655172414,4.84583382288656,5.47150533260535,3.74020518074341,0.274001983248599,14.1851432246862,2.51590369606856,7.84704800495418
"actual rates",3.91379310344828,4.62402779647402,5.14456597685882,3.49409416563742,0.211926062751002,13.101119918283,2.41556447165975,7.32247952743589
"actual rates",5.62068965517241,7.65212008272091,7.93455975337226,4.38763099763146,0.74160334004549,17.4390207298168,4.59349980011002,10.7186496654138
"actual rates",7.32758620689655,3.70949441457474,4.36600566642042,3.20478230777538,0.224097033894614,11.933601199487,1.82909499914217,6.16558595531819
"actual rates",9.03448275862069,8.99391447756883,9.29753007187692,4.73395993812231,1.24234810931475,19.2400066671579,5.80550353955941,12.5116647651441
"actual rates",10.7413793103448,4.50931147794301,5.03833668683709,3.48905089450785,0.224810523918269,12.9569670118618,2.24636937682382,7.23519743748102
"actual rates",12.448275862069,9.86980483908555,10.0719868853218,4.68065840392859,1.7642066438788,19.638060861628,6.6426910033138,13.14586826065
"actual rates",14.1551724137931,6.68672815918162,7.03860258235553,4.03790792807121,0.588421195086705,15.5977153472086,3.89696502857645,9.70155793699547
"actual rates",15.8620689655172,11.0337620442802,11.2214472370007,4.91012050869391,2.31701765020056,21.2085070230805,7.79342113774351,14.4503555825847
"actual rates",17.5689655172414,14.3789612601973,14.5187400616097,5.19740438901478,4.5174110165278,24.8057506331292,10.9403395691539,18.0958228435161
"actual rates",19.2758620689655,13.3492172294889,13.383187077712,5.34832580195294,3.13551048201845,23.9294208599839,9.60028306202558,17.0189059458526
"actual rates",20.9827586206897,23.3185889661312,23.3147065752753,5.3553580035608,12.8696254249085,33.7526843245698,19.6830629574721,26.9340414309406
"actual rates",22.6896551724138,21.6876888517409,21.6428126772924,5.50373658871679,10.7770178443809,32.4856969362164,17.9640190722659,25.2780544081322
"actual rates",24.3965517241379,21.3831482458499,21.4403686539923,5.60499584620585,10.486119684751,32.4587568743575,17.7362521691366,25.2691831736076
"actual rates",26.1034482758621,26.0790248070044,26.1653704829115,5.62977452324926,15.3109503935641,37.2652055955252,22.293909369427,30.0381945999455
"actual rates",27.8103448275862,27.7592793421679,27.8603900653164,5.85594682022806,16.5937353437733,39.2313848308023,23.7507031503253,31.9154203492853
"actual rates",29.5172413793103,32.6810441376977,32.7027682288057,6.00900621393564,20.9737116494201,44.475841424467,28.5831592030346,36.6946618491189
"actual rates",31.2241379310345,31.3325578931487,31.3531931685275,6.13845433603105,19.2992444684303,43.1350960428989,27.3564672618031,35.6206588715355
"actual rates",32.9310344827586,36.1952850808459,36.2097083180721,6.63484414694679,23.153961673949,49.4697256489088,31.87568323324,40.4219186843988
"actual rates",34.6379310344828,36.407257669833,36.4928620693798,6.51775603725403,23.6082789564582,49.0467365091179,32.044770614374,41.0064228193817
"actual rates",36.3448275862069,35.8417258451466,35.9705662180779,6.85854518032973,22.7579492051584,49.7965715324954,31.2570440285444,40.7011204362486
"actual rates",38.051724137931,35.0228614275674,35.0694480318312,7.20718698863859,21.2752732444385,49.3623153403597,30.2497578993666,39.6866446720138
"actual rates",39.7586206896552,44.5114827249914,44.5270288980939,7.56108834354693,29.8316256030641,59.5411044263491,39.464292539735,49.5951600927025
