Extraction,Number,PCR_rep,Timepoint,Timepoint_name,Carboy,Time_sampled,Hours_base,Days_base,Component,Filter,Marker,Filt_mL,Control,Reaction,Dilution,ddPCR_copies_ul_well,Positive_droplets,Negative_droplets,copies_ul_extract,copies_mL
52345-761,761,1,3,8h,1,5:34,11.3,0.47,DNA,5,Bridge,1925,FALSE,Duplex,1,1.415471946,27,22115,15.5701914,0.404420556
52345-761,761,3,3,8h,1,5:34,11.3,0.47,DNA,5,Dloop,1925,FALSE,Duplex,1,2.835018635,46,19066,31.18520498,0.810005324
52345-761,761,2,3,8h,1,5:34,11.3,0.47,DNA,5,Dloop,1925,FALSE,Duplex,1,2.971665621,53,20956,32.68832183,0.84904732
52345-761,761,1,3,8h,1,5:34,11.3,0.47,DNA,5,Dloop,1925,FALSE,Duplex,1,3.885115862,73,22069,42.73627448,1.110033103
52345-761,761,4,3,8h,1,5:34,11.3,0.47,DNA,5,16S,1925,FALSE,Duplex,1,4.038810253,72,20937,44.42691278,1.153945787
52345-761,761,1,3,8h,1,5:34,11.3,0.47,RNA,5,16S,1925,FALSE,Monoplex,0.1,0.427341301,8,22020,47.00754311,1.220975146
52345-761,761,2,3,8h,1,5:34,11.3,0.47,DNA,5,16S,1925,FALSE,Monoplex,1,4.94537878,89,21128,54.39916658,1.412965366
52345-761,761,5,3,8h,1,5:34,11.3,0.47,DNA,5,16S,1925,FALSE,Duplex,1,5.182154655,84,19028,57.00370121,1.480615616
52345-761,761,1,3,8h,1,5:34,11.3,0.47,DNA,5,16S,1925,FALSE,Monoplex,1,5.891470432,110,21911,64.80617475,1.683277266
52345-761,761,3,3,8h,1,5:34,11.3,0.47,DNA,5,16S,1925,FALSE,Duplex,1,6.072806835,114,22028,66.80087519,1.735087667
52345-761,761,2,3,8h,1,5:34,11.3,0.47,DNA,5,Cytb,1925,FALSE,Monoplex,1,18.3280983,346,22037,201.6090813,5.236599514
52345-761,761,1,3,8h,1,5:34,11.3,0.47,DNA,5,Cytb,1925,FALSE,Monoplex,1,24.48932648,406,19302,269.3825913,6.996950423
52345-761,761,2,3,8h,1,5:34,11.3,0.47,Carryover,5,Cytb,1925,FALSE,Monoplex,1,47.10057068,850,20809,518.1062775,13.45730591
52345-761,761,1,3,8h,1,5:34,11.3,0.47,Carryover,5,Cytb,1925,FALSE,Monoplex,1,52.35284042,945,20767,575.8812446,14.95795441
52345-764,764,1,3,8h,4,6:16,12,0.5,Carryover,5,Cytb,1600,TRUE,Monoplex,1,0,0,20494,0,0
52345-764,764,2,3,8h,4,6:16,12,0.5,Carryover,5,Cytb,1600,TRUE,Monoplex,1,0,0,21492,0,0
52345-764,764,1,3,8h,4,6:16,12,0.5,DNA,5,Bridge,1600,TRUE,Duplex,1,0,0,21986,0,0
52345-764,764,2,3,8h,4,6:16,12,0.5,DNA,5,Bridge,1600,TRUE,Duplex,1,0,0,18878,0,0
52345-764,764,3,3,8h,4,6:16,12,0.5,DNA,5,Bridge,1600,TRUE,Duplex,1,0,0,22084,0,0
52345-764,764,1,3,8h,4,6:16,12,0.5,DNA,5,16S,1600,TRUE,Monoplex,1,0,0,21333,0,0
52345-764,764,2,3,8h,4,6:16,12,0.5,DNA,5,16S,1600,TRUE,Monoplex,1,0,0,20011,0,0
52345-764,764,3,3,8h,4,6:16,12,0.5,DNA,5,16S,1600,TRUE,Duplex,1,0,0,21986,0,0
52345-764,764,4,3,8h,4,6:16,12,0.5,DNA,5,16S,1600,TRUE,Duplex,1,0,0,18878,0,0
52345-764,764,5,3,8h,4,6:16,12,0.5,DNA,5,16S,1600,TRUE,Duplex,1,0,0,22084,0,0
